arm,operator,round,candidates_so_far,best_speedup_so_far,n_correct_so_far,cum_gpu_seconds,cum_tokens
minimal_kb,kl_div,0,4,4.560626,3,19.8,20466
minimal_kb,rope,0,4,3.939380,1,16.9,22729
minimal_kb,welford,0,4,2.419495,4,13.5,18430
minimal_kb,cross_entropy,0,4,2.167739,2,22.6,23041
minimal_kb,rms_norm,0,4,2.319240,4,15.4,15399
minimal_kb,geglu,0,4,1.684106,4,15.0,19791
minimal_kb,embedding,0,4,0.998048,4,18.0,21130
minimal_kb,int4_gemm,0,4,0.000000,0,6.5,32091
minimal_kb,kl_div,1,12,4.608902,9,55.9,76416
minimal_kb,fused_linear_cross_entropy,0,4,0.000000,0,16.0,50274
minimal_kb,welford,1,12,2.426869,12,42.2,72496
minimal_kb,rope,1,10,4.287568,5,42.4,82624
minimal_kb,cross_entropy,1,12,2.173963,7,65.8,89658
minimal_kb,rms_norm,1,12,2.319240,12,44.4,65177
minimal_kb,embedding,1,12,0.998048,5,49.9,71116
minimal_kb,geglu,1,12,1.688616,12,46.5,86491
minimal_kb,int4_gemm,1,8,0.000000,0,14.6,61794
minimal_kb,fused_linear_cross_entropy,1,8,0.000000,0,31.6,93413
minimal_kb,rope,2,12,4.287568,7,51.3,100677
minimal_kb,fused_linear_cross_entropy,2,12,0.000000,0,52.3,139268
minimal_kb,int4_gemm,2,12,0.000000,0,27.5,95667
