arm,operator,round,candidates_so_far,best_speedup_so_far,n_correct_so_far,cum_gpu_seconds,cum_tokens
minimal_kb,rope,0,4,3.949749,3,16.4,30480
minimal_kb,rms_norm,0,4,2.332607,3,13.5,22528
minimal_kb,kl_div,0,4,7.310241,2,17.3,30861
minimal_kb,welford,0,4,2.452114,4,13.4,20965
minimal_kb,geglu,0,4,1.687268,3,15.9,24148
minimal_kb,cross_entropy,0,4,3.016110,4,22.3,33826
minimal_kb,embedding,0,4,0.000000,0,15.0,30447
minimal_kb,rope,1,16,23.511720,13,66.7,167115
minimal_kb,rms_norm,1,16,2.332607,13,58.3,114120
minimal_kb,kl_div,1,16,11.830820,11,69.9,155657
minimal_kb,welford,1,16,2.454346,13,56.2,119909
minimal_kb,geglu,1,16,1.690538,14,63.3,124217
minimal_kb,embedding,1,8,1.020482,2,31.8,61499
minimal_kb,cross_entropy,1,16,9.126543,14,87.9,180897
minimal_kb,rms_norm,2,24,2.354469,21,87.2,172840
minimal_kb,rope,2,24,23.511720,18,152.2,280883
minimal_kb,kl_div,2,24,11.830820,16,103.2,240303
minimal_kb,geglu,2,24,1.690538,22,92.7,188973
minimal_kb,welford,2,24,2.462079,20,84.8,196865
minimal_kb,embedding,2,20,1.020482,9,77.6,152002
minimal_kb,cross_entropy,2,24,9.126543,21,130.4,274816
