arm,operator,eval_index,best_speedup_so_far
minimal_kb,rms_norm,12,2.3218
minimal_kb,rms_norm,12,2.3218
minimal_kb,rope,1,3.1483
minimal_kb,rope,1,3.1483
minimal_kb,rope,2,3.1483
minimal_kb,rope,2,3.1483
minimal_kb,rope,3,3.1483
minimal_kb,rope,3,3.1483
minimal_kb,rope,4,3.9394
minimal_kb,rope,4,3.9394
minimal_kb,rope,5,3.9394
minimal_kb,rope,5,4.2876
minimal_kb,rope,6,4.2876
minimal_kb,rope,6,4.2876
minimal_kb,rope,7,4.2876
minimal_kb,rope,7,4.2876
minimal_kb,rope,8,4.2876
minimal_kb,rope,8,4.2876
minimal_kb,rope,9,4.2876
minimal_kb,rope,9,4.2876
minimal_kb,rope,10,4.2876
minimal_kb,rope,10,4.2876
minimal_kb,rope,11,4.2876
minimal_kb,rope,11,4.2876
minimal_kb,rope,12,4.2876
minimal_kb,rope,12,4.2876
minimal_kb,softmax,1,1.0002
minimal_kb,softmax,2,1.0048
minimal_kb,softmax,3,1.0048
minimal_kb,softmax,4,1.0053
minimal_kb,softmax,5,1.0053
minimal_kb,softmax,6,1.0053
minimal_kb,sum,1,0.0
minimal_kb,sum,2,0.0
minimal_kb,sum,3,0.9222
minimal_kb,sum,4,0.9222
minimal_kb,sum,5,0.9633
minimal_kb,sum,6,0.9884
minimal_kb,vector_add,1,0.9837
minimal_kb,vector_add,2,0.9837
minimal_kb,vector_add,3,0.9992
minimal_kb,vector_add,4,0.9992
minimal_kb,vector_add,5,0.9992
minimal_kb,vector_add,6,0.9992
minimal_kb,vector_exp,1,0.9936
minimal_kb,vector_exp,2,0.9942
minimal_kb,vector_exp,3,0.9942
minimal_kb,vector_exp,4,0.9942
minimal_kb,vector_exp,5,0.9942
minimal_kb,vector_exp,6,1.0007
minimal_kb,welford,1,2.2579
minimal_kb,welford,1,2.4144
minimal_kb,welford,2,2.4144
minimal_kb,welford,2,2.4144
minimal_kb,welford,3,2.4144
minimal_kb,welford,3,2.4144
minimal_kb,welford,4,2.4195
minimal_kb,welford,4,2.4195
minimal_kb,welford,5,2.4195
minimal_kb,welford,5,2.4195
minimal_kb,welford,6,2.4195
minimal_kb,welford,6,2.4195
minimal_kb,welford,7,2.4195
minimal_kb,welford,7,2.4195
minimal_kb,welford,8,2.4195
minimal_kb,welford,8,2.4195
minimal_kb,welford,9,2.4195
minimal_kb,welford,9,2.4195
minimal_kb,welford,10,2.4195
minimal_kb,welford,10,2.4269
minimal_kb,welford,11,2.4269
minimal_kb,welford,11,2.4269
minimal_kb,welford,12,2.4269
minimal_kb,welford,12,2.4269
pilot_full_pro,addmm,1,0.0
pilot_full_pro,addmm,2,0.0
pilot_full_pro,addmm,3,0.0
pilot_full_pro,addmm,4,0.0
pilot_full_pro,addmm,5,0.0
pilot_full_pro,addmm,6,0.0
pilot_full_pro,addmm,7,0.0
pilot_full_pro,addmm,8,0.0
pilot_full_pro,addmm,9,0.0
pilot_full_pro,addmm,10,0.0
pilot_full_pro,addmm,11,0.0
pilot_full_pro,addmm,12,0.0
pilot_full_pro,cross_entropy,1,2.0882
pilot_full_pro,cross_entropy,2,2.0882
pilot_full_pro,cross_entropy,3,2.0882
pilot_full_pro,cross_entropy,4,2.0882
pilot_full_pro,cross_entropy,5,2.101
pilot_full_pro,cross_entropy,6,2.1138
pilot_full_pro,cross_entropy,7,2.1138
pilot_full_pro,cross_entropy,8,2.1138
pilot_full_pro,cross_entropy,9,2.1138
pilot_full_pro,cross_entropy,10,2.1138
pilot_full_pro,cross_entropy,11,2.1138
pilot_full_pro,cross_entropy,12,2.1138
pilot_full_pro,embedding,1,1.0048
pilot_full_pro,embedding,2,1.0048
pilot_full_pro,embedding,3,1.0048
pilot_full_pro,embedding,4,1.0048
pilot_full_pro,embedding,5,1.0048
pilot_full_pro,embedding,6,1.0048
pilot_full_pro,embedding,7,1.0048
pilot_full_pro,embedding,8,1.0048
pilot_full_pro,embedding,9,1.0048
pilot_full_pro,embedding,10,1.0048
pilot_full_pro,embedding,11,1.0048
pilot_full_pro,embedding,12,1.0048
pilot_full_pro,fused_linear_cross_entropy,1,0.0
pilot_full_pro,fused_linear_cross_entropy,2,0.0
pilot_full_pro,fused_linear_cross_entropy,3,0.0
pilot_full_pro,fused_linear_cross_entropy,4,0.0
pilot_full_pro,fused_linear_cross_entropy,5,0.0
pilot_full_pro,fused_linear_cross_entropy,6,0.0942
pilot_full_pro,fused_linear_cross_entropy,7,0.0942
pilot_full_pro,fused_linear_cross_entropy,8,1.2117
pilot_full_pro,geglu,1,1.6774
pilot_full_pro,geglu,2,1.6774
pilot_full_pro,geglu,3,1.6774
pilot_full_pro,geglu,4,1.6774
pilot_full_pro,geglu,5,1.6782
